ip,country,asn
195.254.247.244,IT,44512
154.21.212.146,US,46475
174.67.243.186,US,22773
34.65.249.230,CH,396982
66.176.58.35,US,7922
68.181.183.8,US,47
82.36.158.97,GB,5089
95.214.148.216,CH,212865
149.107.35.176,GR,200736
80.128.150.163,DE,3320
49.228.63.128,TH,133481
54.179.157.29,SG,16509
184.16.65.145,US,5650
217.178.47.205,JP,55391
188.32.140.137,RU,42610
139.177.194.42,CA,63949
47.134.244.90,US,20115
213.178.34.40,RU,8439
172.236.20.89,GB,63949
174.26.254.146,US,209
187.230.187.47,MX,8151
45.159.178.76,DE,15943
5.128.87.126,RU,31200
87.154.208.163,DE,3320
100.16.80.61,US,701
199.58.100.115,US,25961
72.90.241.220,US,701
67.182.167.194,US,7922
172.232.181.81,US,63949
168.144.163.12,AU,14061
